Website	Category	Rank Change	Avg. Visit Duration	Pages / Visit	Bounce Rate	Fetched From
knigavuhe.org	Arts & Entertainment > Books and Literature	1	00:03:27	2.79	60.79%	arts and entertainment
novelbin.com	Arts & Entertainment > Books and Literature	1	00:05:09	4.09	42.35%	arts and entertainment
ranobes.top	Arts & Entertainment > Books and Literature	2	00:27:46	9.11	29.32%	arts and entertainment
webnovel.com	Arts & Entertainment > Books and Literature	=	00:22:14	8.75	25.93%	arts and entertainment
royalroad.com	Arts & Entertainment > Books and Literature	2	00:13:12	5.91	36.87%	arts and entertainment
overdrive.com	Arts & Entertainment > Books and Literature	2	00:03:50	5.37	36.35%	arts and entertainment
thriftbooks.com	Arts & Entertainment > Books and Literature	7	00:02:46	5.32	41.72%	arts and entertainment
52shuku.vip	Arts & Entertainment > Books and Literature	5	00:40:54	14.91	26.99%	arts and entertainment
xbanxia.com	Arts & Entertainment > Books and Literature	1	00:33:15	9	32.53%	arts and entertainment
epub.pub	Arts & Entertainment > Books and Literature	2	00:04:45	5.57	38.58%	arts and entertainment
mangabuff.ru	Arts & Entertainment > Books and Literature	7	00:25:16	13.57	26.22%	arts and entertainment
stihi.ru	Arts & Entertainment > Books and Literature	5	00:04:02	6.02	37.95%	arts and entertainment
loveread.ec	Arts & Entertainment > Books and Literature	2	00:23:37	7.87	28.65%	arts and entertainment
vitalsource.com	Arts & Entertainment > Books and Literature	21	00:13:52	14.5	26.56%	arts and entertainment
akniga.org	Arts & Entertainment > Books and Literature	4	00:02:46	2.67	53.95%	arts and entertainment
26ks.cc	Arts & Entertainment > Books and Literature	15	00:01:58	8.22	47.05%	arts and entertainment
faloo.com	Arts & Entertainment > Books and Literature	4	00:18:05	18.68	24.05%	arts and entertainment
novelfull.net	Arts & Entertainment > Books and Literature	2	00:33:05	10.38	29.61%	arts and entertainment
uukanshu.cc	Arts & Entertainment > Books and Literature	18	00:21:10	8.79	33.56%	arts and entertainment
ridibooks.com	Arts & Entertainment > Books and Literature	2	00:11:40	9.13	25.74%	arts and entertainment
readli.net	Arts & Entertainment > Books and Literature	5	00:20:31	9.33	30.41%	arts and entertainment
lubimyczytac.pl	Arts & Entertainment > Books and Literature	1	00:02:22	3.41	31.31%	arts and entertainment
69shuba.pro	Arts & Entertainment > Books and Literature	32	00:11:01	4.02	62.94%	arts and entertainment
club-romance.ru	Arts & Entertainment > Books and Literature	6	00:05:38	2.42	59.27%	arts and entertainment
pari.ru	Arts & Entertainment > Books and Literature	6	00:03:54	5.79	44.66%	arts and entertainment
sto.cx	Arts & Entertainment > Books and Literature	1	00:26:16	9.22	22.38%	arts and entertainment
